epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.962,1.22347,2.34205,1.48651,0.34827,0.27674,0.305,0.16177,1.54451,2.375,1.49645,0.00055324,0.00055324,0.00055324
2,98.6524,1.30136,1.83558,1.54812,0.42273,0.33566,0.35344,0.18998,1.67196,1.89044,1.5393,0.00108695,0.00108695,0.00108695
3,144.996,1.30571,1.65349,1.54718,0.35763,0.31163,0.35163,0.19373,1.60871,2.18901,1.49757,0.00159866,0.00159866,0.00159866
4,190.963,1.2628,1.51014,1.51457,0.12803,0.12403,0.08314,0.0489,1.99084,3.69217,1.89964,0.00156798,0.00156798,0.00156798
5,236.97,1.21598,1.42297,1.48401,0.37896,0.3438,0.34853,0.1986,1.68569,2.09041,1.53653,0.00153497,0.00153497,0.00153497
6,283.369,1.18918,1.36459,1.45617,0.90691,0.31512,0.39784,0.24578,1.45398,1.7341,1.40878,0.00150197,0.00150197,0.00150197
7,329.521,1.13958,1.28278,1.42074,0.44035,0.55116,0.48885,0.30767,1.33751,1.17494,1.30497,0.00146896,0.00146896,0.00146896
8,375.686,1.11021,1.23051,1.40191,0.46301,0.45194,0.44919,0.28146,1.42873,1.26261,1.3849,0.00143595,0.00143595,0.00143595
9,421.684,1.0892,1.17966,1.38467,0.49765,0.51221,0.50495,0.3302,1.25957,1.1832,1.25005,0.00140295,0.00140295,0.00140295
10,467.753,1.06865,1.1375,1.36765,0.55751,0.54574,0.56629,0.35285,1.22409,0.94353,1.23001,0.00136994,0.00136994,0.00136994
11,514.154,1.06202,1.11923,1.36057,0.95535,0.44302,0.50622,0.32802,1.23335,1.09833,1.21348,0.00133693,0.00133693,0.00133693
12,560.707,1.03677,1.08391,1.34054,0.84801,0.48102,0.55678,0.35239,1.2154,0.98433,1.23617,0.00130393,0.00130393,0.00130393
13,608.842,1.03134,1.05536,1.33954,0.5038,0.49302,0.48152,0.31655,1.30101,1.29796,1.31344,0.00127092,0.00127092,0.00127092
14,655.544,1.00839,1.02404,1.31488,0.49129,0.54302,0.5377,0.36907,1.17073,0.97449,1.20858,0.00123791,0.00123791,0.00123791
15,702.611,0.99666,1.00886,1.31324,0.50185,0.53062,0.52133,0.35595,1.13274,0.89341,1.16916,0.00120491,0.00120491,0.00120491
16,749.164,0.99744,1.00882,1.31202,0.93122,0.56694,0.63021,0.39914,1.18676,0.89609,1.18442,0.0011719,0.0011719,0.0011719
17,796.252,0.98999,0.99666,1.30656,0.88319,0.5155,0.56916,0.37742,1.13582,0.92718,1.17678,0.00113889,0.00113889,0.00113889
18,843.361,0.95693,0.95111,1.28654,0.9142,0.51724,0.597,0.38372,1.15221,0.86384,1.17328,0.00110589,0.00110589,0.00110589
19,890.04,0.96659,0.95255,1.29121,0.60738,0.54457,0.57734,0.3749,1.16637,0.85267,1.15893,0.00107288,0.00107288,0.00107288
20,937.118,0.96446,0.94336,1.28662,0.56693,0.42481,0.47451,0.30762,1.36063,1.18489,1.34936,0.00103987,0.00103987,0.00103987
21,983.874,0.93635,0.90433,1.26297,0.71525,0.58062,0.64424,0.40201,1.10503,0.98732,1.14219,0.00100687,0.00100687,0.00100687
22,1030.78,0.92853,0.89479,1.26407,0.72408,0.50388,0.56595,0.40205,1.04619,0.82786,1.11475,0.000973861,0.000973861,0.000973861
23,1076.88,0.91646,0.88341,1.25578,0.71361,0.55767,0.56406,0.38813,1.14662,0.85017,1.19824,0.000940855,0.000940855,0.000940855
24,1123.54,0.91022,0.85395,1.24169,0.7674,0.60891,0.63279,0.40624,1.1349,0.84145,1.16145,0.000907848,0.000907848,0.000907848
25,1171.42,0.90339,0.85054,1.2456,0.78229,0.68721,0.73816,0.4472,1.13564,0.7528,1.18559,0.000874842,0.000874842,0.000874842
26,1219.57,0.90133,0.84888,1.24528,0.78519,0.67558,0.70409,0.43541,1.16625,0.80843,1.20927,0.000841835,0.000841835,0.000841835
27,1266.71,0.90707,0.83081,1.2381,0.79275,0.61899,0.65903,0.40814,1.16857,0.83381,1.1781,0.000808828,0.000808828,0.000808828
28,1312.68,0.89399,0.81931,1.23247,0.61797,0.58023,0.57404,0.40112,1.11432,0.84514,1.16486,0.000775822,0.000775822,0.000775822
29,1359.28,0.88933,0.80876,1.23048,0.93968,0.56839,0.60948,0.39864,1.11669,0.84424,1.15506,0.000742815,0.000742815,0.000742815
30,1405.78,0.87607,0.79614,1.22351,0.9506,0.62073,0.68387,0.443,1.02907,0.83362,1.11519,0.000709809,0.000709809,0.000709809
31,1452.57,0.86002,0.77006,1.21068,0.83063,0.69927,0.69944,0.47699,1.05314,0.73548,1.13417,0.000676802,0.000676802,0.000676802
32,1498.37,0.86179,0.77225,1.216,0.79493,0.56047,0.58691,0.41403,1.0394,0.77709,1.12429,0.000643795,0.000643795,0.000643795
33,1545.04,0.85737,0.7481,1.20676,0.77695,0.66491,0.66831,0.46039,1.00264,0.7774,1.10248,0.000610789,0.000610789,0.000610789
34,1591.34,0.84499,0.75109,1.20315,0.681,0.60891,0.62617,0.42629,1.0182,0.79891,1.10699,0.000577782,0.000577782,0.000577782
35,1637.47,0.84358,0.74161,1.19439,0.85,0.65465,0.73007,0.46315,1.0403,0.70883,1.11734,0.000544776,0.000544776,0.000544776
36,1683.59,0.82037,0.72034,1.18623,0.80246,0.6648,0.68787,0.47514,1.02089,0.67742,1.11716,0.000511769,0.000511769,0.000511769
37,1729.65,0.83411,0.71258,1.19424,0.86114,0.66395,0.73307,0.46005,1.02551,0.7211,1.11598,0.000478762,0.000478762,0.000478762
38,1776.35,0.80893,0.70569,1.1869,0.7771,0.73184,0.74871,0.49148,1.05714,0.68049,1.12979,0.000445756,0.000445756,0.000445756
39,1822.86,0.81537,0.70847,1.18546,0.74487,0.78488,0.75845,0.50544,1.0101,0.64943,1.12001,0.000412749,0.000412749,0.000412749
40,1868.97,0.80764,0.68397,1.17845,0.89246,0.63462,0.72443,0.46572,0.9989,0.76171,1.11332,0.000379743,0.000379743,0.000379743
41,1945.08,0.77742,0.56602,1.14892,0.79697,0.59315,0.6267,0.43949,1.01073,0.73318,1.11042,0.000346736,0.000346736,0.000346736
42,1991.91,0.76336,0.53769,1.14144,0.68019,0.63513,0.63924,0.44574,1.02606,0.73196,1.11133,0.000313729,0.000313729,0.000313729
43,2039.55,0.75407,0.51796,1.13802,0.89066,0.65361,0.72898,0.47334,1.00363,0.70355,1.10789,0.000280723,0.000280723,0.000280723
44,2086.44,0.74119,0.50887,1.12801,0.79184,0.64144,0.68687,0.48059,0.97943,0.73421,1.10613,0.000247716,0.000247716,0.000247716
45,2132.37,0.72946,0.50214,1.12192,0.96189,0.64419,0.741,0.48131,0.99088,0.70608,1.11201,0.00021471,0.00021471,0.00021471
46,2178.59,0.71533,0.48208,1.10716,0.65696,0.70059,0.64438,0.45478,0.99634,0.71773,1.10579,0.000181703,0.000181703,0.000181703
47,2224.72,0.70613,0.46462,1.09689,0.72438,0.75387,0.74528,0.47825,0.97919,0.7034,1.0986,0.000148696,0.000148696,0.000148696
48,2270.79,0.70435,0.46402,1.09726,0.8577,0.77836,0.77515,0.50774,0.97343,0.70253,1.09285,0.00011569,0.00011569,0.00011569
49,2317.51,0.69788,0.45082,1.09484,0.84884,0.73295,0.74915,0.495,0.96607,0.68976,1.09703,8.26832e-05,8.26832e-05,8.26832e-05
50,2363.85,0.69107,0.44588,1.09521,0.8611,0.73268,0.73263,0.50271,0.97857,0.68754,1.09658,4.96766e-05,4.96766e-05,4.96766e-05
